         91460 function calls (89740 primitive calls) in 14.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31/15   14.417    0.465    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       27    0.264    0.010    0.264    0.010 {built-in method posix.waitpid}
       96    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
      100    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
  400/397    0.003    0.000    0.008    0.000 {built-in method builtins.__build_class__}
        6    0.003    0.000    0.003    0.000 {built-in method _posixsubprocess.fork_exec}
       96    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      6/3    0.002    0.000    0.000    0.000 threading.py:327(wait)
        1    0.002    0.002    0.005    0.005 _regex_core.py:1(<module>)
      529    0.002    0.000    0.002    0.000 {built-in method posix.stat}
        6    0.001    0.000    0.001    0.000 abc.py:41(_register)
        2    0.001    0.001    0.003    0.001 _monitor.py:47(get_instances)
       57    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      241    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.001    0.001   14.428   14.428 std.py:1160(__iter__)
   113/41    0.001    0.000    0.003    0.000 _parser.py:511(_parse)
       21    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
     1316    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       27    0.001    0.000    0.265    0.010 popen_fork.py:25(poll)
        2    0.001    0.000    0.002    0.001 std.py:464(format_meter)
      2/1    0.001    0.000    0.000    0.000 pool.py:183(__init__)
        2    0.001    0.000    0.001    0.000 {built-in method fromtimestamp}
5629/5628    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      136    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.001    0.000    0.001    0.000 std.py:760(get_lock)
        6    0.001    0.000    0.001    0.000 _weakrefset.py:37(__init__)
     5464    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     6381    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       20    0.001    0.000    0.001    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
  421/387    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x104155960}
       96    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        2    0.001    0.000    0.001    0.000 std.py:457(print_status)
       11    0.001    0.000    0.001    0.000 _weakrefset.py:63(__iter__)
   207/38    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
        6    0.000    0.000    0.000    0.000 selectors.py:63(__init__)
       26    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      831    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        5    0.000    0.000    0.005    0.001 popen_spawn_posix.py:38(_launch)
       10    0.000    0.000    0.002    0.000 feedparser.py:218(_parsegen)
     1676    0.000    0.000    0.001    0.000 feedparser.py:79(readline)
     4638    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.000    0.000 synchronize.py:94(__enter__)
        6    0.000    0.000    0.000    0.000 selectors.py:272(close)
        1    0.000    0.000    0.002    0.002 pool.py:671(_help_stuff_finish)
   136/10    0.000    0.000    0.054    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
       81    0.000    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.001    0.001 std.py:686(_decr_instances)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     1727    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       96    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
4311/4098    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       24    0.000    0.000    0.001    0.000 {method 'dump' of '_pickle.Pickler' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _io.open}
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.003    0.003 std.py:1265(close)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
        7    0.000    0.000    0.001    0.000 enum.py:1753(convert_class)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        7    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
    89/38    0.000    0.000    0.003    0.000 _parser.py:451(_parse_sub)
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     2929    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1757    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     99/1    0.000    0.000   14.699   14.699 {built-in method builtins.exec}
   136/10    0.000    0.000    0.054    0.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1676    0.000    0.000    0.001    0.000 feedparser.py:129(__next__)
        2    0.000    0.000    0.001    0.000 _weakrefset.py:120(update)
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1096    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
        6    0.000    0.000    0.000    0.000 threading.py:315(_acquire_restore)
        6    0.000    0.000    0.003    0.001 util.py:514(spawnv_passfds)
   125/12    0.000    0.000    0.053    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
