         4406 function calls (4339 primitive calls) in 0.014 seconds

   Ordered by: internal time
   List reduced from 328 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008    0.008    0.008 {built-in method _posixsubprocess.fork_exec}
        5    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      916    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
        5    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        2    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      922    0.000    0.000    0.001    0.000 /Users/ubreglia/Desktop/lmfromscratch/assignment1-basics/.venv/lib/python3.13/site-packages/tqdm/utils.py:375(<genexpr>)
       21    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/threading.py:869(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      2/1    0.000    0.000    0.002    0.002 /Users/ubreglia/Desktop/lmfromscratch/assignment1-basics/cs336_basics/bpe_tokenizer/bpe_parallel.py:108(merge)
        1    0.000    0.000    0.008    0.008 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/multiprocessing/util.py:514(spawnv_passfds)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        6    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
     12/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        1    0.000    0.000    0.012    0.012 /Users/ubreglia/Desktop/lmfromscratch/assignment1-basics/.venv/lib/python3.13/site-packages/tqdm/std.py:760(get_lock)
      2/1    0.000    0.000    0.000    0.000 /Users/ubreglia/Desktop/lmfromscratch/assignment1-basics/.venv/lib/python3.13/site-packages/tqdm/_monitor.py:30(__init__)
        1    0.000    0.000    0.009    0.009 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/multiprocessing/synchronize.py:50(__init__)
        2    0.000    0.000    0.001    0.000 /Users/ubreglia/Desktop/lmfromscratch/assignment1-basics/.venv/lib/python3.13/site-packages/tqdm/std.py:464(format_meter)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      2/1    0.000    0.000    0.000    0.000 /Users/ubreglia/Desktop/lmfromscratch/assignment1-basics/.venv/lib/python3.13/site-packages/tqdm/std.py:663(__new__)
        1    0.000    0.000    0.008    0.008 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/multiprocessing/resource_tracker.py:158(_launch)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        1    0.000    0.000    0.001    0.001 /Users/ubreglia/Desktop/lmfromscratch/assignment1-basics/.venv/lib/python3.13/site-packages/tqdm/std.py:952(__init__)
     12/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
        2    0.000    0.000    0.000    0.000 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/signal.py:69(pthread_sigmask)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10127a8e0}
        1    0.000    0.000    0.008    0.008 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/multiprocessing/resource_tracker.py:198(_ensure_running_and_write)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.000    0.000 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/subprocess.py:1(<module>)
     11/3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
        2    0.000    0.000    0.000    0.000 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/signal.py:24(_int_to_enum)
        1    0.000    0.000    0.001    0.001 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/multiprocessing/util.py:1(<module>)
        1    0.000    0.000    0.012    0.012 /Users/ubreglia/.local/share/uv/python/cpython-3.13.7-macos-aarch64-none/lib/python3.13/multiprocessing/context.py:70(RLock)


